id;year;month;municipality_code_ibge;municipality_name;dengue_cases;chikungunya_cases;zika_cases;total_cases;estimated_population;rainfall_mm;average_humidity;average_temperature
79;2000.0;1.0;2311405;Quixeramobim;0;0;0;0;34179.0;73.0;72.9;27.0
80;2000.0;1.0;2312908;Sobral;0;0;0;0;84238.0;208.7;82.0;26.1
81;2000.0;1.0;2313302;Tauá;0;0;0;0;27061.0;179.6;69.3;25.7
82;2000.0;1.0;2314102;Viçosa do Ceará;0;0;0;0;22760.0;;;
83;2000.0;1.0;2401008;Apodi;0;0;0;0;16745.0;157.4;67.1;28.2
84;2000.0;1.0;2401305;Campo Grande;0;0;0;0;4168.0;169.4;73.9;26.2
85;2000.0;1.0;2401701;Bom Jesus;0;0;0;0;4469.0;163.9;80.1;19.0
86;2000.0;1.0;2403004;Cruzeta;0;0;0;0;3639.0;89.0;62.5;27.7
87;2000.0;1.0;2403806;Florânia;0;0;0;0;4263.0;80.2;67.8;26.5
88;2000.0;1.0;2407104;Macaíba;0;0;0;0;38169.0;;;
89;2000.0;1.0;2407203;Macau;0;0;0;0;12928.0;97.8;75.5;28.2
90;2000.0;1.0;2407807;Monte Alegre;0;0;0;0;10024.0;253.8;65.3;25.8
91;2000.0;1.0;2408003;Mossoró;0;0;0;0;123480.0;63.8;75.0;28.3
92;2000.0;1.0;2408102;Natal;0;0;0;0;337029.0;50.0;88.1;26.5
93;2000.0;1.0;2408300;Nova Cruz;0;0;0;0;14199.0;;;
94;2000.0;1.0;2409332;Santa Maria;0;0;0;0;2208.0;246.0;69.7;25.2
95;2000.0;1.0;2411205;Santa Cruz;0;0;0;0;17091.0;246.7;;
96;2000.0;1.0;2413003;São Vicente;0;0;0;0;3039.0;;84.8;23.6
97;2000.0;1.0;2413508;Serrinha;0;0;0;0;3098.0;60.0;73.0;25.6
98;2000.0;1.0;2414902;Viçosa;0;0;0;0;788.0;295.9;83.8;22.6
99;2000.0;1.0;2500106;Água Branca;0;0;0;0;4434.0;50.1;73.7;24.6
100;2000.0;1.0;2501104;Areia;0;0;0;0;10203.0;110.0;81.7;23.2
101;2000.0;1.0;2501906;Belém;0;0;0;0;7291.0;411.9;88.3;26.2
102;2000.0;1.0;2502151;Boa Vista;0;0;0;0;2768.0;45.4;77.1;27.5
103;2000.0;1.0;2502201;Bom Jesus;0;0;0;0;1065.0;163.9;80.1;19.0
104;2000.0;1.0;2504009;Campina Grande;0;0;0;0;183901.0;78.4;74.8;24.3
105;2000.0;1.0;2506301;Guarabira;0;0;0;0;24270.0;;;
106;2000.0;1.0;2507507;João Pessoa;0;0;0;0;377756.0;96.4;75.0;27.7
107;2000.0;1.0;2509701;Monteiro;0;0;0;0;17629.0;128.3;67.0;25.2
108;2000.0;1.0;2510808;Patos;0;0;0;0;45320.0;133.6;60.4;27.4
109;2000.0;1.0;2513208;Santa Cruz;0;0;0;0;2684.0;246.7;;
110;2000.0;1.0;2516805;Triunfo;0;0;0;0;4039.0;93.65;76.35;23.5
111;2000.0;1.0;2603009;Cabrobó;0;0;0;0;13057.0;117.7;67.3;26.9
112;2000.0;1.0;2606002;Garanhuns;0;0;0;0;61356.0;85.3;88.7;22.7
113;2000.0;1.0;2606200;Goiana;0;0;0;0;41466.0;;;
114;2000.0;1.0;2609501;Nazaré da Mata;0;0;0;0;12651.0;;;
115;2000.0;1.0;2609600;Olinda;0;0;0;0;153234.0;;;
116;2000.0;1.0;2609907;Ouricuri;0;0;0;0;32040.0;;;
117;2000.0;1.0;2610905;Pesqueira;0;0;0;0;29617.0;49.3;81.6;22.2
118;2000.0;1.0;2611101;Petrolina;0;0;0;0;159256.0;76.6;;26.7
119;2000.0;1.0;2612455;Santa Cruz;0;0;0;0;6026.0;246.7;;
120;2000.0;1.0;2614501;Surubim;0;0;0;0;28761.0;57.1;77.3;24.8
121;2000.0;1.0;2615706;Triunfo;0;0;0;0;7500.0;93.65;76.35;23.5
122;2000.0;1.0;2700102;Água Branca;0;0;0;0;8244.0;50.1;73.7;24.6
123;2000.0;1.0;2700300;Arapiraca;0;0;0;0;96116.0;;;
124;2000.0;1.0;2700805;Belém;0;0;0;0;2170.0;411.9;88.3;26.2
125;2000.0;1.0;2701506;Campo Grande;0;0;0;0;3380.0;169.4;73.9;26.2
126;2000.0;1.0;2704302;Maceió;0;0;0;0;403096.0;90.0;76.4;25.6
127;2000.0;1.0;2704401;Major Isidoro;0;0;0;0;7538.0;;;
128;2000.0;1.0;2705002;Mata Grande;0;0;0;0;10531.0;;;
129;2000.0;1.0;2706307;Palmeira dos Índios;0;0;0;0;30820.0;52.6;69.0;26.0
130;2000.0;1.0;2706406;Pão de Açúcar;0;0;0;0;10124.0;20.9;65.9;28.6
131;2000.0;1.0;2707404;Porto de Pedras;0;0;0;0;4183.0;;;
132;2000.0;1.0;2709400;Viçosa;0;0;0;0;9954.0;295.9;83.8;22.6
133;2000.0;1.0;2800308;Aracaju;0;0;0;0;267071.0;64.2;79.1;26.3
134;2000.0;1.0;2803005;Itabaianinha;0;0;0;0;17052.0;95.5;82.2;25.4
135;2000.0;1.0;2805703;Propriá;0;0;0;0;11845.0;56.0;76.0;27.1
136;2000.0;1.0;2900702;Alagoinhas;0;0;0;0;70414.0;70.2;78.6;25.4
137;2000.0;1.0;2902708;Barra;0;0;0;0;21037.0;46.9;60.4;26.3
138;2000.0;1.0;2903201;Barreiras;0;0;0;0;70200.0;183.9;81.3;24.8
139;2000.0;1.0;2903904;Bom Jesus da Lapa;0;0;0;0;27189.0;131.8;75.1;25.5
140;2000.0;1.0;2905206;Caetité;0;0;0;0;24459.0;78.6;72.9;
141;2000.0;1.0;2905701;Camaçari;0;0;0;0;177233.0;67.8;80.1;26.0
142;2000.0;1.0;2906204;Canarana;0;0;0;0;11409.0;358.0;85.0;24.4
143;2000.0;1.0;2906303;Canavieiras;0;0;0;0;17067.0;79.1;81.6;26.3
144;2000.0;1.0;2906907;Caravelas;0;0;0;0;10161.0;132.9;83.1;26.1
145;2000.0;1.0;2907103;Carinhanha;0;0;0;0;13945.0;143.5;72.4;25.1
146;2000.0;1.0;2907905;Cipó;0;0;0;0;7585.0;45.5;62.9;27.1
147;2000.0;1.0;2909307;Correntina;0;0;0;0;15964.0;175.5;79.5;24.2
148;2000.0;1.0;2909802;Cruz das Almas;0;0;0;0;28010.0;77.2;85.7;25.2
149;2000.0;1.0;2910800;Feira de Santana;0;0;0;0;288378.0;31.0;75.4;25.4
150;2000.0;1.0;2911808;Guaratinga;0;0;0;0;10775.0;167.7;77.9;25.3
151;2000.0;1.0;2914604;Irecê;0;0;0;0;31512.0;131.2;70.5;23.7
152;2000.0;1.0;2914703;Itaberaba;0;0;0;0;31126.0;103.9;72.1;25.5
153;2000.0;1.0;2914802;Itabuna;0;0;0;0;93345.0;;;
154;2000.0;1.0;2917201;Ituaçu;0;0;0;0;8692.0;81.1;69.0;24.9
155;2000.0;1.0;2917508;Jacobina;0;0;0;0;42748.0;130.2;73.9;24.7
156;2000.0;1.0;2919306;Lençóis;0;0;0;0;5920.0;84.3;74.6;24.9
157;2000.0;1.0;2921500;Monte Santo;0;0;0;0;24887.0;120.1;63.7;25.5
158;2000.0;1.0;2921708;Morro do Chapéu;0;0;0;0;18502.0;165.4;76.7;21.5
159;2000.0;1.0;2922003;Mucuri;0;0;0;0;19098.0;;;
160;2000.0;1.0;2924009;Paulo Afonso;0;0;0;0;49975.0;103.5;67.4;27.3
161;2000.0;1.0;2926004;Remanso;0;0;0;0;18049.0;157.2;72.8;26.7
162;2000.0;1.0;2930105;Senhor do Bonfim;0;0;0;0;35063.0;138.1;68.5;24.9
163;2000.0;1.0;2930501;Serrinha;0;0;0;0;39114.0;60.0;73.0;25.6
164;2000.0;1.0;2933307;Vitória da Conquista;0;0;0;0;160658.0;215.0;77.5;22.3
165;2000.0;1.0;3101102;Aimorés;0;0;0;0;12587.0;215.8;78.8;27.0
166;2000.0;1.0;3103405;Araçuaí;0;0;0;0;15703.0;117.8;76.2;25.7
167;2000.0;1.0;3104007;Araxá;0;0;0;0;47752.0;367.5;91.1;22.5
168;2000.0;1.0;3104502;Arinos;0;0;0;0;8327.0;120.6;72.8;25.9
169;2000.0;1.0;3105103;Bambuí;0;0;0;0;13313.0;339.7;83.3;23.6
170;2000.0;1.0;3105608;Barbacena;0;0;0;0;56122.0;270.7;83.0;21.0
171;2000.0;1.0;3106200;Belo Horizonte;0;0;0;0;1027170.0;469.5;73.0;23.3
172;2000.0;1.0;3107109;Boa Esperança;0;0;0;0;17576.0;84.6;72.0;26.2
173;2000.0;1.0;3107406;Bom Despacho;0;0;0;0;25040.0;303.6;85.9;23.8
174;2000.0;1.0;3109303;Buritis;0;0;0;0;11690.0;165.3;77.6;25.4
175;2000.0;1.0;3112109;Caparaó;0;0;0;0;2402.0;358.4;82.5;22.3
176;2000.0;1.0;3112604;Capinópolis;0;0;0;0;6695.0;191.1;82.5;24.6
177;2000.0;1.0;3113404;Caratinga;0;0;0;0;43134.0;193.4;80.1;23.4
178;2000.0;1.0;3113503;Carbonita;0;0;0;0;5248.0;169.2;80.9;23.4
179;2000.0;1.0;3115508;Caxambu;0;0;0;0;10978.0;671.9;71.2;23.0
180;2000.0;1.0;3119401;Coronel Fabriciano;0;0;0;0;43598.0;233.2;77.8;25.5
181;2000.0;1.0;3119609;Coronel Pacheco;0;0;0;0;1596.0;360.7;83.7;24.0
182;2000.0;1.0;3120904;Curvelo;0;0;0;0;37360.0;246.0;74.2;24.2
183;2000.0;1.0;3121605;Diamantina;0;0;0;0;24765.0;411.8;82.2;20.2
184;2000.0;1.0;3122306;Divinópolis;0;0;0;0;106845.0;355.4;;
185;2000.0;1.0;3124302;Espinosa;0;0;0;0;13975.0;96.0;77.9;
186;2000.0;1.0;3126000;Florestal;0;0;0;0;4829.0;330.0;78.8;22.6
187;2000.0;1.0;3126208;Formoso;0;0;0;0;3720.0;232.4;74.2;23.9
188;2000.0;1.0;3127107;Frutal;0;0;0;0;28235.0;398.9;81.1;25.3
189;2000.0;1.0;3127388;Goianá;0;0;0;0;2356.0;;;
190;2000.0;1.0;3127701;Governador Valadares;0;0;0;0;125248.0;172.9;79.3;26.5
191;2000.0;1.0;3129806;Ibirité;0;0;0;0;67182.0;;;
192;2000.0;1.0;3132107;Itacarambi;0;0;0;0;7117.0;;;
193;2000.0;1.0;3132503;Itamarandiba;0;0;0;0;15398.0;196.4;;
194;2000.0;1.0;3134202;Ituiutaba;0;0;0;0;48640.0;325.8;77.3;25.7
195;2000.0;1.0;3135100;Janaúba;0;0;0;0;29719.0;224.3;75.6;24.7
196;2000.0;1.0;3135209;Januária;0;0;0;0;29351.0;200.0;83.9;24.5
197;2000.0;1.0;3136207;João Monlevade;0;0;0;0;33244.0;275.6;79.0;22.6
198;2000.0;1.0;3136306;João Pinheiro;0;0;0;0;21891.0;295.1;76.7;24.2
199;2000.0;1.0;3136702;Juiz de Fora;0;0;0;0;267747.0;327.0;82.3;21.3
200;2000.0;1.0;3136801;Juramento;0;0;0;0;2272.0;212.8;82.2;22.8
201;2000.0;1.0;3137809;Lambari;0;0;0;0;10600.0;463.6;85.8;22.2
202;2000.0;1.0;3138203;Lavras;0;0;0;0;47213.0;459.8;76.8;22.7
203;2000.0;1.0;3139003;Machado;0;0;0;0;16551.0;500.8;81.5;22.8
204;2000.0;1.0;3139904;Maria da Fé;0;0;0;0;5753.0;469.6;79.9;20.6
205;2000.0;1.0;3140704;Mateus Leme;0;0;0;0;20870.0;;;
206;2000.0;1.0;3142908;Monte Azul;0;0;0;0;11127.0;121.0;75.6;24.4
207;2000.0;1.0;3143302;Montes Claros;0;0;0;0;180227.0;211.2;77.6;23.8
208;2000.0;1.0;3143906;Muriaé;0;0;0;0;50591.0;205.4;79.3;25.2
209;2000.0;1.0;3145604;Oliveira;0;0;0;0;18389.0;;;
210;2000.0;1.0;3147006;Paracatu;0;0;0;0;39829.0;242.0;78.1;24.8
211;2000.0;1.0;3147600;Passa Quatro;0;0;0;0;7166.0;766.3;77.5;22.1
212;2000.0;1.0;3148004;Patos de Minas;0;0;0;0;77170.0;378.5;81.9;22.5
213;2000.0;1.0;3148707;Pedra Azul;0;0;0;0;9188.0;104.8;78.4;24.1
214;2000.0;1.0;3151206;Pirapora;0;0;0;0;23417.0;314.0;80.1;25.5
215;2000.0;1.0;3152006;Pompéu;0;0;0;0;15212.0;223.8;77.8;24.5
216;2000.0;1.0;3152204;Porteirinha;0;0;0;0;17827.0;;;
217;2000.0;1.0;3157005;Salinas;0;0;0;0;20043.0;154.4;81.6;24.4
218;2000.0;1.0;3162500;São João del Rei;0;0;0;0;45678.0;389.4;79.2;22.2
219;2000.0;1.0;3163706;São Lourenço;0;0;0;0;22452.0;508.8;76.7;22.2
220;2000.0;1.0;3166709;Serra dos Aimorés;0;0;0;0;3436.0;122.4;81.2;25.0
221;2000.0;1.0;3167202;Sete Lagoas;0;0;0;0;97409.0;387.0;74.5;23.4
222;2000.0;1.0;3168606;Teófilo Otoni;0;0;0;0;60684.0;270.1;80.4;25.2
223;2000.0;1.0;3170107;Uberaba;0;0;0;0;152552.0;523.1;80.2;23.4
224;2000.0;1.0;3170206;Uberlândia;0;0;0;0;336870.0;344.1;80.1;23.7
225;2000.0;1.0;3170404;Unaí;0;0;0;0;39753.0;180.1;74.5;25.5
226;2000.0;1.0;3171303;Viçosa;0;0;0;0;40375.0;295.9;83.8;22.6
227;2000.0;1.0;3200300;Alfredo Chaves;0;0;0;0;7673.0;171.2;;
228;2000.0;1.0;3201001;Boa Esperança;0;0;0;0;6011.0;84.6;72.0;26.2
229;2000.0;1.0;3202108;Ecoporanga;0;0;0;0;11936.0;234.8;;
230;2000.0;1.0;3202900;Itarana;0;0;0;0;4603.0;138.2;;
231;2000.0;1.0;3203205;Linhares;0;0;0;0;74739.0;95.9;81.9;26.0
232;2000.0;1.0;3203700;Muniz Freire;0;0;0;0;9253.0;239.9;;
233;2000.0;1.0;3204609;Santa Teresa;0;0;0;0;11844.0;17.0;;
234;2000.0;1.0;3204906;São Mateus;0;0;0;0;62132.0;141.4;82.7;26.0
235;2000.0;1.0;3205309;Vitória;0;0;0;0;148278.0;243.9;76.7;26.3
236;2000.0;1.0;3300100;Angra dos Reis;0;0;0;0;93974.0;;;
237;2000.0;1.0;3301207;Carmo;0;0;0;0;8059.0;217.6;;
238;2000.0;1.0;3301504;Cordeiro;0;0;0;0;9635.0;163.8;80.6;23.7
239;2000.0;1.0;3301876;Iguaba Grande;0;0;0;0;21396.0;59.6;73.4;26.3
240;2000.0;1.0;3302205;Itaperuna;0;0;0;0;49275.0;157.6;75.6;26.2
241;2000.0;1.0;3302700;Maricá;0;0;0;0;106494.0;130.5;78.9;26.2
242;2000.0;1.0;3303401;Nova Friburgo;0;0;0;0;97199.0;384.0;;
243;2000.0;1.0;3304003;Piraí;0;0;0;0;13143.0;353.5;;
244;2000.0;1.0;3304201;Resende;0;0;0;0;59324.0;426.5;79.4;24.0
245;2000.0;1.0;3304300;Rio Bonito;0;0;0;0;25870.0;125.9;76.6;25.6
246;2000.0;1.0;3304557;Rio de Janeiro;0;0;0;0;2920214.0;;;
247;2000.0;1.0;3304607;Santa Maria Madalena;0;0;0;0;5510.0;263.6;;
248;2000.0;1.0;3304706;Santo Antônio de Pádua;0;0;0;0;20120.0;217.6;76.4;26.4
249;2000.0;1.0;3304805;São Fidélis;0;0;0;0;19372.0;91.3;;
250;2000.0;1.0;3304904;São Gonçalo;0;0;0;0;413779.0;195.6;73.5;26.0
251;2000.0;1.0;3305802;Teresópolis;0;0;0;0;88293.0;;;
252;2000.0;1.0;3504503;Avaré;0;0;0;0;40335.0;238.9;;
253;2000.0;1.0;3509700;Campos do Jordão;0;0;0;0;27197.0;;;
254;2000.0;1.0;3511102;Catanduva;0;0;0;0;52522.0;342.9;75.6;25.2
255;2000.0;1.0;3516200;Franca;0;0;0;0;151152.0;525.4;81.5;22.2
256;2000.0;1.0;3518800;Guarulhos;0;0;0;0;515164.0;331.9;76.1;22.9
257;2000.0;1.0;3520301;Iguape;0;0;0;0;18069.0;;;
258;2000.0;1.0;3523909;Itu;0;0;0;0;73902.0;233.1;;
259;2000.0;1.0;3524303;Jaboticabal;0;0;0;0;33350.0;276.1;78.1;24.2
260;2000.0;1.0;3527108;Lins;0;0;0;0;33359.0;195.2;;
261;2000.0;1.0;3541406;Presidente Prudente;0;0;0;0;104515.0;91.1;66.5;26.2
262;2000.0;1.0;3546603;Santa Fé do Sul;0;0;0;0;16374.0;146.6;;
263;2000.0;1.0;3548906;São Carlos;0;0;0;0;122473.0;277.5;79.2;22.7
264;2000.0;1.0;3549607;São José do Barreiro;0;0;0;0;2207.0;;;
265;2000.0;1.0;3550902;São Simão;0;0;0;0;6420.0;312.0;77.0;24.3
266;2000.0;1.0;3551009;São Vicente;0;0;0;0;146756.0;;84.8;23.6
267;2000.0;1.0;3552205;Sorocaba;0;0;0;0;307419.0;240.8;76.8;23.4
268;2000.0;1.0;3554102;Taubaté;0;0;0;0;133141.0;344.6;78.1;23.7
269;2000.0;1.0;3555406;Ubatuba;0;0;0;0;79563.0;374.2;82.6;25.1
270;2000.0;1.0;3557105;Votuporanga;0;0;0;0;44051.0;393.8;75.4;25.2
271;2000.0;1.0;4103008;Boa Esperança;0;0;0;0;1985.0;84.6;72.0;26.2
272;2000.0;1.0;4104204;Campo Largo;0;0;0;0;58179.0;;;
273;2000.0;1.0;4104303;Campo Mourão;0;0;0;0;43415.0;120.9;73.7;24.1
274;2000.0;1.0;4104907;Castro;0;0;0;0;30585.0;137.9;81.3;20.6
275;2000.0;1.0;4105805;Colombo;0;0;0;0;92405.0;;;
276;2000.0;1.0;4106407;Cornélio Procópio;0;0;0;0;21294.0;;;
277;2000.0;1.0;4106704;Cruzeiro do Sul;0;0;0;0;2105.0;331.1;83.9;25.9
278;2000.0;1.0;4106902;Curitiba;0;0;0;0;789846.0;125.2;82.7;20.9
279;2000.0;1.0;4110052;Iguatu;0;0;0;0;1000.0;144.9;77.7;26.1
280;2000.0;1.0;4110706;Irati;0;0;0;0;24578.0;281.4;79.9;20.8
281;2000.0;1.0;4111407;Ivaí;0;0;0;0;5581.0;180.1;;
282;2000.0;1.0;4113502;Loanda;0;0;0;0;9824.0;;;
283;2000.0;1.0;4113700;Londrina;0;0;0;0;247287.0;101.8;72.9;24.6
284;2000.0;1.0;4115200;Maringá;0;0;0;0;180117.0;242.8;70.7;25.3
285;2000.0;1.0;4117602;Palmas;0;0;0;0;17370.0;288.3;81.8;25.7
286;2000.0;1.0;4118204;Paranaguá;0;0;0;0;59236.0;358.1;81.0;25.1
287;2000.0;1.0;4122503;Roncador;0;0;0;0;5059.0;182.8;81.8;21.3
288;2000.0;1.0;4202537;Bom Jesus;0;0;0;0;1099.0;163.9;80.1;19.0
289;2000.0;1.0;4203600;Campos Novos;0;0;0;0;15848.0;211.5;72.5;21.0
290;2000.0;1.0;4204202;Chapecó;0;0;0;0;101916.0;228.9;69.6;23.8
291;2000.0;1.0;4205407;Florianópolis;0;0;0;0;285000.0;;;
292;2000.0;1.0;4207502;Indaial;0;0;0;0;29447.0;229.9;81.4;24.7
293;2000.0;1.0;4207858;Irati;0;0;0;0;885.0;281.4;79.9;20.8
294;2000.0;1.0;4209003;Joaçaba;0;0;0;0;13581.0;122.8;;
295;2000.0;1.0;4209300;Lages;0;0;0;0;71163.0;177.1;75.4;20.6
296;2000.0;1.0;4213302;Ponte Alta;0;0;0;0;2154.0;162.7;88.4;25.4
297;2000.0;1.0;4216008;São Carlos;0;0;0;0;4576.0;277.5;79.2;22.7
298;2000.0;1.0;4216503;São Joaquim;0;0;0;0;12097.0;157.0;86.1;17.1
299;2000.0;1.0;4219002;Urussanga;0;0;0;0;9080.0;;;
300;2000.0;1.0;4300802;Antônio Prado;0;0;0;0;6179.0;;;
301;2000.0;1.0;4301602;Bagé;0;0;0;0;53716.0;98.9;48.0;23.8
302;2000.0;1.0;4302105;Bento Gonçalves;0;0;0;0;55648.0;195.7;76.9;21.6
303;2000.0;1.0;4302303;Bom Jesus;0;0;0;0;5436.0;163.9;80.1;19.0
304;2000.0;1.0;4303509;Camaquã;0;0;0;0;28366.0;51.7;82.6;23.8
305;2000.0;1.0;4303608;Cambará do Sul;0;0;0;0;3343.0;103.8;85.1;18.6
306;2000.0;1.0;4303905;Campo Bom;0;0;0;0;27222.0;95.6;75.6;24.8
307;2000.0;1.0;4305108;Caxias do Sul;0;0;0;0;220438.0;165.8;79.0;20.9
